,id,exp,priority,bfs,project,norm_exp,norm_priority,norm_bfs,cost
6804,PIG-3194,39.0,3.0,2,pig,0.09718670076726343,0.5,0.0006459948320413437,0.07505233913123625
6805,PIG-3198,59.0,3.0,19,pig,0.14833759590792842,0.5,0.011627906976744186,0.7860744993218957
6806,PIG-3198,59.0,3.0,19,pig,0.14833759590792842,0.5,0.011627906976744186,0.7860744993218957
6807,PIG-3200,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6808,PIG-3202,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6809,PIG-3206,9.0,3.0,17,pig,0.020460358056265986,0.5,0.0103359173126615,0.11455357025293957
6810,PIG-3208,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
6811,PIG-3210,73.0,2.0,2,pig,0.1841432225063939,0.25,0.0006459948320413437,0.11784533951308149
6812,PIG-3212,39.0,4.0,6,pig,0.09718670076726343,0.75,0.003229974160206718,0.21111213521710315
6813,PIG-3223,9.0,3.0,16,pig,0.020460358056265986,0.5,0.009689922480620155,0.10797003173265565
6814,PIG-3239,73.0,2.0,2,pig,0.1841432225063939,0.25,0.0006459948320413437,0.11784533951308149
6815,PIG-3241,39.0,5.0,2,pig,0.09718670076726343,1.0,0.0006459948320413437,0.10138649321237178
6816,PIG-3243,73.0,1.0,2,pig,0.1841432225063939,0.0,0.0006459948320413437,0.09348624698803112
6817,PIG-3249,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
6818,PIG-3250,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6819,PIG-3252,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6820,PIG-3253,73.0,2.0,2,pig,0.1841432225063939,0.25,0.0006459948320413437,0.11784533951308149
6821,PIG-3256,351.0,4.0,2,pig,0.8951406649616369,0.75,0.0006459948320413437,0.807141822586804
6822,PIG-3261,392.0,3.0,3,pig,1.0000000000000002,0.5,0.0012919896640826872,1.030982132276456
6823,PIG-3262,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6824,PIG-3264,17.0,3.0,2,pig,0.04092071611253197,0.5,0.0006459948320413437,0.031600984897362634
6825,PIG-3267,351.0,3.0,4,pig,0.8951406649616369,0.5,0.001937984496124031,1.154752656457793
6826,PIG-3270,392.0,3.0,2,pig,1.0000000000000002,0.5,0.0006459948320413437,0.7722490684292994
